url,release_date,num_files,total_uncompressed_size,num_entries,num_bases,error
https://www.ncbi.nlm.nih.gov/genbank/release/135/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/136/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/137/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/138/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/139/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/140/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/141/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/142/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/143/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/144/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/145/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/146/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/147/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/148/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/149/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/150/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/151/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/152/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
