url,release_number,release_date,num_files,total_uncompressed_size,num_entries,num_bases,error
https://www.ncbi.nlm.nih.gov/genbank/release/171/,171.0,2009-04-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/172/,172.0,2009-06-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/173/,173.0,2009-08-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/174/,174.0,2009-10-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/175/,175.0,2009-12-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/176/,176.0,2010-02-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/177/,177.0,2010-04-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/178/,178.0,2010-06-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/179/,179.0,2010-08-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/180/,180.0,2010-10-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/181/,181.0,2010-12-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/182/,182.0,2011-02-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/183/,183.0,2011-04-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/184/,184.0,2011-06-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/185/,185.0,2011-08-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/186/,186.0,2011-10-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/187/,187.0,2011-12-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/188/,188.0,2012-02-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/189/,189.0,2012-04-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/190/,190.0,2012-06-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/191/,191.0,2012-08-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/192/,192.0,2012-10-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/193/,193.0,2012-12-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/194/,194.0,2013-02-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/195/,195.0,2013-04-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/196/,196.0,2013-06-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/197/,197.0,2013-08-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/198/,198.0,2013-10-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/199/,199.0,2013-12-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/200/,200.0,2014-02-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/201/,201.0,2014-04-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/202/,202.0,2014-06-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/203/,203.0,2014-08-15,2,,3,1,
https://www.ncbi.nlm.nih.gov/genbank/release/204/,204.0,2014-10-15,2,,3,1,
